Domain,mean,std,rank,percentile_rank
EFhand_Ca_insen,812.1874705882352,280.05950176014323,6344.0,98.83159370618476
Ribosomal_L18_c,805.366,0.0,6342.5,98.80822558030845
Ribosomal_L5e,805.366,0.0,6342.5,98.80822558030845
Ribosomal_L18A,804.4029999999999,0.0,6341.0,98.78485745443216
Ribosomal_L23eN,802.8289999999998,0.0,6340.0,98.76927870384795
Keratin_matx,796.2420000000002,2005.9473361883986,6339.0,98.75369995326373
ATP-gua_PtransN,788.9463076923076,584.3013834656712,6337.5,98.73033182738745
ATP-gua_Ptrans,788.9463076923076,584.3013834656712,6337.5,98.73033182738745
Cornifin,780.0725833333332,885.0543527115833,6336.0,98.70696370151113
Troponin-I_N,764.777,0.0,6335.0,98.69138495092693
DUF1013,762.119,,6334.0,98.67580620034273
Ribos_L4_asso_C,761.937,0.0,6333.0,98.66022744975852
MG1,757.1103076923077,604.5508626147439,6332.0,98.64464869917433
TCTP,756.852,0.0,6331.0,98.62906994859011
Apolipoprotein,747.7343157894734,1413.7508762651005,6330.0,98.6134911980059
Ribosomal_S7e,739.531,0.0,6329.0,98.5979124474217
Serpin,737.0128224299057,1432.2872467262614,6328.0,98.58233369683751
Ribosomal_S17_N,733.007,0.0,6327.0,98.56675494625331
Redoxin,731.245,,6326.0,98.5511761956691
Ribosomal_L38e,730.425,0.0,6325.0,98.5355974450849
PC4,715.69,0.0,6324.0,98.5200186945007
CBFNT,712.4034444444445,238.63601316183986,6323.0,98.5044399439165
COX6C,711.938,,6322.0,98.48886119333228
Ribosomal_L21e,709.641,0.0,6321.0,98.47328244274809
Carb_anhydrase,708.3992380952378,895.3250313084644,6320.0,98.45770369216388
Ribosomal_S28e,706.376,,6319.0,98.44212494157968
Ribosomal_L36e,705.872,0.0,6318.0,98.42654619099548
Ribosomal_L2,704.8787142857144,603.0108496773266,6316.5,98.40317806511916
Ribosomal_L2_C,704.8787142857144,603.0108496773266,6316.5,98.40317806511916
Ribosomal_L35Ae,704.558,0.0,6315.0,98.37980993924288
TMA7,691.798,,6314.0,98.36423118865866
EFP_N,691.1594000000001,220.3548098324609,6313.0,98.34865243807445
Zona_pellucida,690.9112142857144,1383.0144469271977,6312.0,98.33307368749026
eIF-5a,687.4041666666667,197.30586518744613,6311.0,98.31749493690606
Ribosomal_L19e,674.879,0.0,6310.0,98.30191618632185
Ribosomal_S4,669.8891666666666,302.23478264449756,6309.0,98.28633743573765
Ribosomal_L18,669.7690000000001,0.0,6308.0,98.27075868515345
HnRNP_M_NLS,664.4700000000001,0.0,6306.5,98.24739055927714
Collagen_mid,664.4700000000001,0.0,6306.5,98.24739055927714
Tubulin_C,663.0348055555559,404.8556593168622,6305.0,98.22402243340083
Ribosomal_L15e,661.123,0.0,6304.0,98.20844368281664
GTP_EFTU_D3,658.813687500001,1145.4259858486919,6303.0,98.19286493223242
TAL_FSA,652.653,0.0,6302.0,98.17728618164823
HSP90,649.5484230769233,620.2387611615495,6301.0,98.16170743106403
Transketolase_C,645.8705833333333,629.8941887782652,6300.0,98.14612868047982
Ribosomal_L6,645.275,0.0,6299.0,98.13054992989562
Ribosomal_S3Ae,642.125,0.0,6298.0,98.11497117931141
PBP,637.65075,1135.1209464626447,6297.0,98.0993924287272
Arginosuc_synth,634.892,0.0,6296.0,98.083813678143
HSP70,631.2549166666676,712.0626307957324,6295.0,98.0682349275588
Lipocalin,629.5979999999997,1024.63758755456,6294.0,98.05265617697461
Ribosomal_S26e,627.626,,6293.0,98.0370774263904
Transketolase_N,618.3458333333334,649.7889075338003,6292.0,98.0214986758062
Ribosomal_S21e,618.058,0.0,6291.0,98.005919925222
Ribosomal_60s,611.430846153846,257.05355476886075,6290.0,97.99034117463779
PLAC8,605.9062,834.9758335881345,6289.0,97.97476242405358
Tubulin,605.7268860759496,428.28655717365945,6288.0,97.95918367346938
Cpn60_TCP1,603.423264150943,784.063100090929,6287.0,97.94360492288517
F_actin_cap_B,600.641,0.0,6286.0,97.92802617230097
40S_SA_C,595.565,0.0,6285.0,97.91244742171678
Ribosomal_L31e,589.614,0.0,6284.0,97.89686867113258
Ribosomal_S9,587.0906000000001,302.68623620145,6283.0,97.88128992054837
Dermcidin,583.204,,6282.0,97.86571116996416
S4,578.5989999999999,309.3856712923208,6281.0,97.85013241937996
P34-Arc,576.737,0.0,6280.0,97.83455366879575
ERp29,571.41,0.0,6278.5,97.81118554291946
ERp29_N,571.41,0.0,6278.5,97.81118554291946
Ribosomal_L27e,567.65,0.0,6277.0,97.78781741704314
Cofilin_ADF,564.5734565217391,856.5183023633324,6276.0,97.77223866645895
CAP_C,563.0663750000003,337.1761471114418,6274.5,97.74887054058264
CAP_N,563.0663750000003,337.1761471114418,6274.5,97.74887054058264
PRKCSH-like,560.195,0.0,6273.0,97.72550241470633
Caldesmon,559.9344999999997,567.1451492689986,6272.0,97.70992366412213
RL10P_insert,558.9502,114.1639156318668,6271.0,97.69434491353793
Ribosomal_L14e,558.687,0.0,6270.0,97.67876616295372
Ribosomal_L23,554.9019999999999,371.8905,6269.0,97.66318741236952
NOPS,541.3857,217.58304347998057,6268.0,97.64760866178533
Keratin_2_head,538.8259661016948,639.7594423589596,6267.0,97.63202991120112
ETF_alpha,538.236,0.0,6266.0,97.61645116061692
Ribosomal_S6e,533.17,0.0,6265.0,97.60087241003271
KAsynt_C_assoc,532.561,,6263.0,97.5697149088643
KR,532.561,,6263.0,97.5697149088643
PS-DH,532.561,,6263.0,97.5697149088643
Ku_PK_bind,532.341,0.0,6261.0,97.5385574076959
MIF,530.8803333333334,304.32935123820494,6260.0,97.5229786571117
Ribosomal_L30_N,529.2886666666667,360.3490837022715,6259.0,97.5073999065275
Ribosomal_S25,528.064,,6258.0,97.4918211559433
ETF,524.4655714285714,36.433129446778416,6257.0,97.47624240535909
Ribosomal_S11,524.0585,526.9273834299498,6256.0,97.46066365477488
6PGD,523.588,0.0,6255.0,97.44508490419068
Poly_export,521.9636,0.9516705312239232,6254.0,97.42950615360647
DUF945,521.0480000000006,0.0,6253.0,97.41392740302227
TT_ORF2a,521.048,0.0,6252.0,97.39834865243807
LmeA,521.0479999999999,0.0,6251.0,97.38276990185386
Clusterin,515.9593333333333,373.5682045742244,6250.0,97.36719115126967
COX2_TM,514.424,,6248.5,97.34382302539336
COX2,514.424,,6248.5,97.34382302539336
Ribosomal_L10,511.7600909090909,190.33136899967624,6247.0,97.32045489951705
HipN,509.1190000000001,0.0,6246.0,97.30487614893285
Ribosomal_L5_C,508.843,0.0,6244.5,97.28150802305655
Ribosomal_L5,508.843,0.0,6244.5,97.28150802305655
Siah-Interact_N,508.531,0.0,6243.0,97.25813989718024
Ribonuc_L-PSP,507.535,0.0,6242.0,97.24256114659605
MG4,505.9834090909093,556.2071668203749,6241.0,97.22698239601183
Osteopontin,505.648,,6240.0,97.21140364542762
Catalase-rel,503.85,,6238.5,97.18803551955133
Catalase,503.85,,6238.5,97.18803551955133
Ribosomal_S17,498.28,363.63750476209134,6237.0,97.16466739367502
SBP56,497.73999999999995,0.0,6236.0,97.14908864309082
Crystall,497.72969230769274,1007.067969707178,6235.0,97.13350989250662
Thiolase_C,495.05576000000013,283.9890807516902,6233.5,97.1101417666303
Thiolase_N,495.05576000000013,283.9890807516902,6233.5,97.1101417666303
Ribosom_S12_S23,493.41783333333325,220.95907998578986,6232.0,97.086773640754
Med20,493.411,0.0,6231.0,97.07119489016979
Ribosomal_L34e,488.611,,6230.0,97.0556161395856
zf-RNPHF,487.8555217391305,45.40999545741763,6229.0,97.0400373890014
Cystatin,487.65657575757604,543.9916653910028,6228.0,97.0244586384172
Ku_C,486.884,52.489222373105626,6226.0,96.99330113724879
Ku,486.884,52.489222373105626,6226.0,96.99330113724879
Ku_N,486.884,52.489222373105626,6226.0,96.99330113724879
TED_complement,485.55130434782626,552.1830616418167,6223.0,96.94656488549617
MG3,485.55130434782626,552.1830616418167,6223.0,96.94656488549617
MG2,485.55130434782626,552.1830616418167,6223.0,96.94656488549617
A2M_BRD,485.5513043478262,552.1830616418167,6220.0,96.89982863374357
A2M,485.5513043478262,552.1830616418167,6220.0,96.89982863374357
A2M_recep,485.5513043478262,552.1830616418167,6220.0,96.89982863374357
S,483.40482857142854,541.9425019601186,6218.0,96.86867113257516
SVA,481.71675000000005,501.1546733772329,6217.0,96.85309238199096
Ribosomal_S13_N,478.442,0.0,6216.0,96.83751363140675
Ribosomal_L27A,477.456375,347.1134998489842,6215.0,96.82193488082255
CPSase_sm_chain,472.41499999999996,508.8123470199991,6213.5,96.79856675494625
CPSase_L_D3,472.41499999999996,508.8123470199991,6213.5,96.79856675494625
Ribosomal_L26,472.35233333333326,96.17030288503827,6212.0,96.77519862906995
Filament,471.04253846153904,787.7120456789412,6211.0,96.75961987848574
FumaraseC_C,470.762,,6210.0,96.74404112790154
UPF0154,470.2905,31.547569042637825,6209.0,96.72846237731734
P21-Arc,468.252,0.0,6208.0,96.71288362673313
Ribosomal_S19,466.109,0.0,6207.0,96.69730487614892
PA28_alpha,464.03712499999995,178.42145109618366,6205.5,96.67393675027263
PA28_beta,464.03712499999995,178.42145109618366,6205.5,96.67393675027263
Ribosomal_L14,463.9614285714286,165.5911491634916,6204.0,96.65056862439631
Porin,462.04531578947365,266.68566950418386,6203.0,96.63498987381212
S10_plectin,459.06100000000004,21.92847463915353,6202.0,96.61941112322792
Pro-NT_NN,458.764,0.0,6201.0,96.60383237264371
EHN,447.518,0.0,6200.0,96.58825362205951
UBA_e1_thiolCys,446.3272,263.0426239193945,6198.5,96.56488549618321
E1_UFD,446.3272,263.0426239193945,6198.5,96.56488549618321
UDP-g_GGTase,444.97612499999997,340.2925050007959,6197.0,96.54151737030689
Esterase,435.074,0.0,6196.0,96.5259386197227
Ribosomal_S8,435.0280000000001,0.0,6195.0,96.51035986913848
DUF5663,433.9399999999999,0.0,6194.0,96.49478111855429
GTP_EFTU_D2,433.37770000000035,897.348822714082,6193.0,96.47920236797009
Troponin,433.1128974358975,386.5316720077341,6192.0,96.46362361738589
Clathrin_lg_ch,428.7895714285714,227.69802574964436,6191.0,96.44804486680168
SAA,427.9078333333334,156.0773508365857,6190.0,96.43246611621747
CNPase,426.84399999999994,0.0,6189.0,96.41688736563327
Nucleoplasmin,425.6943333333332,570.2507996962973,6188.0,96.40130861504906
Ribosomal_S5,424.96157142857146,170.78438102263834,6186.5,96.37794048917276
Ribosomal_S5_C,424.96157142857146,170.78438102263834,6186.5,96.37794048917276
Ferritin,423.2673333333332,278.02254028710865,6185.0,96.35457236329646
Cytochrom_B562,422.551,0.0,6184.0,96.33899361271226
KRTAP,422.50785714285723,674.5463225492725,6183.0,96.32341486212806
SRP14,418.922,0.0,6182.0,96.30783611154385
ADH_N,418.833482758621,606.7240295561776,6181.0,96.29225736095964
Thrombin_light,413.689,0.0,6180.0,96.27667861037544
Histone_H2A_C,413.02164999999997,117.98300186814377,6179.0,96.26109985979124
UCR_14kD,410.58,0.0,6178.0,96.24552110920703
FTCD_C,408.096,0.0,6176.5,96.22215298333073
FTCD,408.096,0.0,6176.5,96.22215298333073
Ribosomal_L16,408.0606666666667,250.55925445141713,6175.0,96.19878485745443
Transket_pyr,406.5900454545454,531.2974321751,6174.0,96.18320610687022
MGS,406.55525,395.22027134742035,6173.0,96.16762735628602
Clathrin-link,406.0668333333333,306.3485617830042,6171.5,96.14425923040972
Clathrin_propel,406.0668333333333,295.36473337477054,6171.5,96.14425923040972
ER,405.275,0.0,6170.0,96.12089110453341
PCNA_C,404.717,,6168.5,96.0975229786571
PCNA_N,404.717,,6168.5,96.0975229786571
Histone,404.69712068965526,331.1797595721217,6167.0,96.07415485278081
PRA1,404.6672,408.14096526807447,6166.0,96.0585761021966
ADH_zinc_N,402.71967741935515,592.1928220320813,6165.0,96.04299735161239
Ribosomal_L30,402.17575,384.9010924212497,6164.0,96.02741860102819
MAM33,402.04025,207.97150000000002,6163.0,96.01183985044399
Pro-rich,401.4961818181818,396.95182474795007,6162.0,95.99626109985978
ATP-synt_F6,400.61,0.0,6161.0,95.98068234927558
PRAP,395.923,,6160.0,95.96510359869139
PTRF_SDPR,393.048,341.934659470685,6159.0,95.94952484810719
Ig_J_chain,390.374,0.0,6158.0,95.93394609752298
ATP-synt_A,390.279,,6157.0,95.91836734693877
MAPEG,389.841,255.35349485761893,6156.0,95.90278859635457
ANATO,382.5105555555557,410.1373961773086,6155.0,95.88720984577036
EF1G,381.72,,6154.0,95.87163109518616
ATP_synth_reg,380.559,,6153.0,95.85605234460196
Ribosomal_S2,380.47860000000003,277.675348398569,6152.0,95.84047359401775
Pro_isomerase,378.687115384616,957.200941973977,6151.0,95.82489484343355
Ribophorin_I,377.00499999999994,0.0,6150.0,95.80931609284934
CDC48,375.7396666666666,316.2925,6148.5,95.78594796697304
CDC48_N,375.7396666666666,316.2925,6148.5,95.78594796697304
PADR1,374.408,0.0,6147.0,95.76257984109674
Lipoprotein,374.296,,6146.0,95.74700109051254
CDC37_N,373.533,0.0,6144.5,95.72363296463622
CDC37_C,373.533,0.0,6144.5,95.72363296463622
NID,373.44899999999984,444.88369774713783,6143.0,95.70026483875994
PGDH_inter,372.861,,6142.0,95.68468608817572
S-methyl_trans,372.65628571428573,463.59911037472676,6141.0,95.66910733759151
SGS,372.48066666666665,235.64608972001497,6140.0,95.65352858700732
ADI,370.958,56.32065705996928,6139.0,95.6379498364231
LTD,367.11288235294137,515.0990673187151,6138.0,95.6223710858389
Mt_ATP-synt_B,365.896,0.0,6137.0,95.60679233525471
PROL5-SMR,364.6046666666667,314.78349111783695,6136.0,95.59121358467051
Iso_dh,362.6956818181818,221.07156096276384,6135.0,95.5756348340863
Ribosomal_L3,362.181375,398.55990481898283,6134.0,95.5600560835021
Ribosomal_L24e,360.86839999999995,262.9254501694349,6133.0,95.5444773329179
UDPGP,359.98137499999996,159.12391207939177,6132.0,95.52889858233368
Thyroglobulin,358.0248794326236,236.07598106146958,6131.0,95.51331983174948
OSCP,357.563,69.72954381035343,6130.0,95.49774108116529
LRR_RI_capping,356.92999999999995,0.0,6129.0,95.48216233058108
EF1_GNE,356.37831578947333,37.03403487816366,6127.5,95.45879420470477
EF-1_beta_acid,356.37831578947333,37.03403487816366,6127.5,95.45879420470477
Peptidase_C12,355.91772222222204,495.2489304477337,6126.0,95.43542607882848
Propeptide_C1,355.344,0.0,6125.0,95.41984732824427
3HCDH_N,354.4477142857143,255.24312170145697,6124.0,95.40426857766006
Ribosomal_L22,353.08083333333326,139.5229700221002,6123.0,95.38868982707586
AIRC,351.915,0.0,6121.5,95.36532170119956
SAICAR_synt,351.915,0.0,6121.5,95.36532170119956
Ribosomal_S15,351.10266666666666,220.55819513528246,6120.0,95.34195357532326
Talin_middle,350.3126000000001,375.9260910083257,6119.0,95.32637482473905
Leg1,349.182,,6118.0,95.31079607415485
HIT,349.0554,524.6516812932176,6117.0,95.29521732357065
COX4,348.69662500000004,136.3595323441856,6116.0,95.27963857298644
G10,346.884,0.0,6115.0,95.26405982240223
Fibrinogen_C,345.42025490196073,637.7338190756968,6114.0,95.24848107181803
Ribosomal_L11_N,345.29400000000004,455.2868752775551,6112.5,95.22511294594173
Ribosomal_L11,345.29400000000004,455.2868752775551,6112.5,95.22511294594173
MHC_I_C,344.8634166666666,173.2634527031849,6111.0,95.20174482006543
DUF1897,344.3874999999998,65.55655059717527,6110.0,95.18616606948123
Succ_DH_flav_C,343.443,0.0,6109.0,95.17058731889702
Neuromodulin,343.214,,6107.5,95.14721919302072
Neuromodulin_N,343.214,,6107.5,95.14721919302072
ELFV_dehydrog,342.1055,177.36258004532226,6106.0,95.1238510671444
Skp1,340.728,0.0,6105.0,95.1082723165602
Ribosomal_L13,340.5905714285714,249.11634167650604,6104.0,95.092693565976
tRNA-synt_1b,339.4100689655172,107.28515650123772,6103.0,95.07711481539181
P16-Arc,339.10400000000004,162.56162854437696,6102.0,95.0615360648076
Ribosomal_S24e,337.89,0.0,6101.0,95.0459573142234
FBPase,337.54033333333336,240.66268620900362,6099.5,95.02258918834708
FBPase_C,337.54033333333336,240.66268620900362,6099.5,95.02258918834708
ubiquitin,335.7650204081628,319.93533823808843,6098.0,94.99922106247078
Peptidase_M17_N,335.291,0.0,6097.0,94.98364231188658
CCD48,334.108114285714,57.598276644854074,6096.0,94.96806356130237
3HCDH,333.30219999999997,241.3940746224821,6095.0,94.95248481071818
Ribosomal_S17e,333.06,0.0,6094.0,94.93690606013398
GDI,332.25772727272727,252.7901323023076,6093.0,94.92132730954978
Ribosomal_L22e,330.06466666666665,198.67849999999999,6092.0,94.90574855896557
SSB,328.533,0.0,6091.0,94.89016980838136
ATP-synt_DE_N,327.394,0.0,6090.0,94.87459105779716
Citrate_synt,326.2086800000001,131.5486129072063,6089.0,94.85901230721295
AT_hook,324.63519999999994,19.78114329788419,6088.0,94.84343355662875
Skp1_POZ,323.343,26.077500000000004,6087.0,94.82785480604456
Involucrin_N,323.248,,6086.0,94.81227605546034
Involucrin,323.24799999999976,0.0,6085.0,94.79669730487615
SRP9-21,322.841,0.0,6084.0,94.78111855429194
UCR_hinge,321.932,0.0,6083.0,94.76553980370774
MARCKS,321.844,200.05879647743558,6082.0,94.74996105312353
Synuclein,321.57666666666665,55.647389091193354,6081.0,94.73438230253933
TMEM213,320.5,,6080.0,94.71880355195513
DUF108,320.297,0.0,6079.0,94.70322480137092
TMEM40,319.953,,6078.0,94.68764605078673
Alpha-amylase_C,317.63190000000003,96.07705253533632,6077.0,94.67206730020253
Ribophorin_II,316.924,0.0,6076.0,94.65648854961832
PPP1R35_C,316.842,,6075.0,94.6409097990341
IGF2_C,316.353,,6074.0,94.62533104844991
COX5B,313.397,,6073.0,94.6097522978657
ATP-synt_E,312.283,,6072.0,94.5941735472815
40S_S4_C,311.81625,285.2467304730824,6070.0,94.5630160461131
Ribosomal_S4e,311.81625,285.2467304730824,6070.0,94.5630160461131
RS4NT,311.81625,285.2467304730824,6070.0,94.5630160461131
Hepcidin,308.72,,6068.0,94.5318585449447
Costars,308.651,258.61250607810905,6067.0,94.51627979436049
NuDC,308.196,0.0,6066.0,94.50070104377627
Thioesterase,306.358,319.89935044948123,6065.0,94.48512229319208
Thioredoxin,306.35703333333277,466.1613786628978,6064.0,94.46954354260788
eIF-4B,304.987,,6063.0,94.45396479202367
HMG_CoA_synt_C,304.69733333333335,371.91865110711154,6061.5,94.43059666614737
HMG_CoA_synt_N,304.69733333333335,371.91865110711154,6061.5,94.43059666614737
Cu-oxidase,303.40743181818135,478.05698531174244,6060.0,94.40722854027106
DSBA,300.886,,6059.0,94.39164978968687
Peptidase_C65,300.3715714285714,126.09234987613529,6058.0,94.37607103910265
MBF1,300.249,,6057.0,94.36049228851846
Proteasome_A_N,299.05577419354836,101.75619854885488,6056.0,94.34491353793425
CBM_4,299.03280000000007,154.662684151888,6055.0,94.32933478735005
Ribosomal_L4,298.03166666666664,347.92900000000003,6054.0,94.31375603676585
Pyrophosphatase,297.2188181818182,196.59708441419886,6053.0,94.29817728618164
LMWPc,296.998,0.0,6051.5,94.27480916030534
Sec61_beta,296.998,0.0,6051.5,94.27480916030534
AICARFT_IMPCHas,296.789,0.0,6050.0,94.25144103442904
Fibrillarin,296.12100000000004,0.0,6049.0,94.23586228384482
UCR_UQCRX_QCR9,295.271,,6048.0,94.22028353326063
UDPG_MGDP_dh_C,295.262,0.0,6046.0,94.18912603209222
UDPG_MGDP_dh,295.262,0.0,6046.0,94.18912603209222
UDPG_MGDP_dh_N,295.262,0.0,6046.0,94.18912603209222
Rib_recp_KP_reg,294.41672727272726,152.2800000322373,6044.0,94.15796853092382
zn-ribbon,293.85,0.0,6043.0,94.14238978033961
eIF-6,292.915,0.0,6042.0,94.1268110297554
ATP-synt_Eps,292.808,56.87259841083403,6041.0,94.1112322791712
STI1,292.38516129032246,263.28356040032793,6040.0,94.095653528587
GTP_EFTU,292.2378700000004,715.1830531443977,6039.0,94.0800747780028
G6PD_C,292.2034,108.32094660683131,6037.5,94.0567066521265
G6PD_N,292.2034,108.32094660683131,6037.5,94.0567066521265
DUF953,292.125,0.0,6036.0,94.03333852625019
Asp,290.52413043478265,290.73390192615904,6035.0,94.017759775666
APOC4,290.361,0.0,6034.0,94.00218102508178
Rhodopsin_N,288.503,,6033.0,93.98660227449757
Semenogelin,287.58466666666664,19.559472419606173,6032.0,93.97102352391337
Clathrin_H_link,287.5592352941177,316.75514268980885,6031.0,93.95544477332918
Gelsolin,286.7766911764705,519.5644538557004,6030.0,93.93986602274497
Peptidase_M20,286.280090909091,154.89989869187534,6029.0,93.92428727216077
MAGP,285.6889999999999,31.18811645482938,6028.0,93.90870852157657
CAS_CSE1,283.827,,6027.0,93.89312977099236
F-actin_cap_A,283.78679999999997,170.8931053003602,6026.0,93.87755102040816
Protamine_P2,283.687,,6025.0,93.86197226982395
CoA_binding,283.46819999999997,68.00687590751394,6024.0,93.84639351923975
SPC12,282.732,0.0,6023.0,93.83081476865554
Ribosomal_S10,282.26441666666665,335.56582706566707,6022.0,93.81523601807135
TRAP-delta,280.761,,6021.0,93.79965726748715
HMG14,280.24569230769237,225.32138954442553,6020.0,93.78407851690294
Ocnus,280.072,,6019.0,93.76849976631874
adh_short_C2,278.6733499999999,203.0988839176432,6018.0,93.75292101573453
SH3BGR,277.94780000000003,366.95349170729764,6017.0,93.73734226515033
Ribosomal_S27e,277.80120000000005,38.690213048004786,6016.0,93.72176351456612
P68HR,277.5810000000001,0.0,6015.0,93.70618476398192
WHEP-TRS,275.98794230769204,109.93605451430881,6014.0,93.69060601339773
C1-set,275.5758230769233,1103.4762562989765,6013.0,93.67502726281351
Myelin-PO_C,274.781,0.0,6012.0,93.65944851222932
C4bp_oligo,274.05,0.0,6011.0,93.64386976164512
DUF1018,273.934,,6010.0,93.62829101106091
Cementoin,273.838,0.0,6009.0,93.6127122604767
RPN1_C,271.733,0.0,6007.5,93.58934413460041
RPN1_RPN2_N,271.733,0.0,6007.5,93.58934413460041
BAF,271.623,303.3144280203851,6006.0,93.56597600872409
DJ-1_PfpI,270.38669230769233,391.2955244450552,6005.0,93.5503972581399
ATP-synt_G,270.325,151.686081523652,6004.0,93.53481850755568
Connexin43,269.416,,6003.0,93.51923975697149
Pentapeptide,269.217112903226,211.6013967075681,6002.0,93.50366100638729
Dynamitin,267.339,0.0,6001.0,93.48808225580308
YchF-GTPase_C,267.122,0.0,6000.0,93.47250350521887
CDC37_M,266.2536666666667,166.19642855689366,5999.0,93.45692475463467
GST_N,266.10989230769235,384.8685215942307,5998.0,93.44134600405047
Glyoxalase,265.6669615384616,146.6916244116155,5997.0,93.42576725346626
FRG1,265.42960000000005,155.7183440854388,5996.0,93.41018850288206
