Gn,Mean-copy-number,mean,std
DDIT4,5.469,5.469,
CEP295NL,0.301,0.301,
COPS3,95.076,95.07599999999998,0.0
NUS1,85.507,85.507,
PCCA,95.682,95.682,0.0
SLC22A18AS,0.181,0.181,
TTC31,13.952,13.952,0.0
KLK8,20.128,20.128,
FOXE3,11.89,11.89,
TRO,84.367,84.36699999999999,0.0
CDY2A,0.599,0.599,
RETN,39.379,39.379,
MEF2A,10.341,10.341,0.0
NR2F6,24.152,24.152,0.0
PCMTD2,6.377,6.377000000000001,0.0
STARD10,60.953,60.95299999999999,0.0
KLHL24,1.055,1.055,0.0
EML3,29.144,29.144000000000002,0.0
MKNK1,22.897,22.896999999999995,0.0
ZXDB,5.017,5.017,
SLC25A35,16.618,16.618,
GABRD,4.858,4.858,
PDE6D,87.014,87.014,0.0
TICRR,10.694,10.694,0.0
TMEM52B,38.444,38.444,0.0
VPS45,31.941,31.941,0.0
ALDOC,472.687,472.68699999999995,0.0
KLHL8,8.017,8.017,0.0
RHBDD1,17.543,17.543000000000003,0.0
C18orf54,6.403,6.403,0.0
GRPEL2,32.441,32.441,0.0
LRTOMT,3.778,3.778,
MEN1,38.04,38.04,0.0
SEMA4D,16.502,16.502,0.0
DLG3,28.54,28.54,0.0
MOG,467.515,467.515,0.0
SPEF1,11.747,11.747,
KLHL14,10.231,10.231,0.0
SHOC1,1.54,1.54,0.0
RPA4,7.181,7.181,
EMC8,48.14,48.14,0.0
C6orf99,9.708,9.708,
LRRC8D,28.693,28.693,0.0
ACTR5,37.802,37.802,
EQTN,7.386,7.386,
ING2,31.95,31.95,0.0
ASH1L,13.774,13.774,0.0
EFNA4,11.257,11.257,
CPXM1,8.633,8.633,
TTR,3512.367,3512.367,
SGCA,41.897,41.897,0.0
TAF6L,30.195,30.195,0.0
DONSON,14.031,14.031,0.0
KCNA10,2.727,2.727,
CLN6,29.306,29.306,0.0
KCNMA1,15.555,15.555000000000003,0.0
ASB3,44.256,44.256,0.0
MRPL27,44.209,44.209,0.0
C6orf47,16.019,16.019,
ZNF619,0.154,0.154,0.0
ARHGAP20,9.568,9.568,0.0
CGGBP1,59.917,59.917,0.0
CIART,12.372,12.372,0.0
CSNK2A2,82.812,82.812,0.0
PHYH,44.256,44.256,0.0
RMDN2,23.912,23.912000000000003,0.0
DLX3,7.416,7.416,0.0
R3HDM2,12.069,12.069,0.0
GPATCH1,35.953,35.953,0.0
PCDH1,18.625,18.625,0.0
SYTL5,2.455,2.455,
C10orf55,28.41,28.41,
COL24A1,3.358,3.358,0.0
CD177,18.895,18.895,0.0
NUDT21,185.145,185.145,0.0
OR6F1,5.216,5.216,
AJAP1,3.863,3.863,
RAB26,2.846,2.846,0.0
NAA80,8.257,8.257,0.0
OR56A3,1.102,1.102,
SSX3,5.672,5.672,0.0
AHCYL2,41.441,41.441,0.0
BAGE3,0.026,0.026,
DENND4C,16.896,16.896,0.0
EIF2S1,264.983,264.983,0.0
PHTF2,6.732,6.732,
HLA-DQA1,57.623,57.623,0.0
USP12,10.789,10.789,0.0
ADHFE1,44.553,44.553,0.0
GGT5,96.804,96.804,0.0
SF3B2,117.23,117.23,0.0
ANKRD20A2P,0.913,0.913,
CD69,4.194,4.194,0.0
KTI12,41.002,41.002,
FOXP4,37.343,37.343,0.0
ATR,27.992,27.992,0.0
HOOK1,24.829,24.829,0.0
MEA1,45.247,45.247,
WFDC10B,11.651,11.651,
RBFOX2,51.671,51.671,0.0
SPAG11A,2.323,2.323,0.0
PDLIM5,230.497,230.49700000000004,0.0
ICA1,39.979,39.97899999999999,0.0
RPL27A,728.964,728.964,0.0
FYB1,51.829,51.829,0.0
KLC4,38.272,38.272,0.0
CCNB1,103.527,103.527,0.0
NPNT,20.132,20.132,0.0
PCP2,21.099,21.099,
RAB2B,112.738,112.738,0.0
ZNF547,3.885,3.885,
RBM7,36.639,36.639,0.0
UQCRHL,321.932,321.932,
R3HCC1L,18.112,18.112,
HSPA6,180.326,180.326,
PABPC4L,8.32,8.32,
VN1R4,5.018,5.018,
PATL1,24.577,24.577,
SERPINB10,40.807,40.807,
MRPL34,39.262,39.262,0.0
CDIN1,9.617,9.617,0.0
GGPS1,40.535,40.535,0.0
NOTO,10.124,10.124,
MORF4L2,33.946,33.946,0.0
TMEM63A,15.271,15.271,0.0
FAM53B,10.19,10.19,
TLK2,22.635,22.635,0.0
RAD51AP1,254.829,254.829,0.0
KIF21B,10.99,10.99,
CINP,54.557,54.556999999999995,0.0
VXN,11.036,11.036,0.0
BEAN1,10.75,10.75,0.0
RAPGEF5,6.363,6.363,0.0
PF4,1209.411,1209.411,
HSD11B2,118.459,118.459,0.0
NBPF26,1.247,1.247,
GRIK4,1.731,1.731,
AKNAD1,6.515,6.515,0.0
SMARCAD1,30.578,30.578,0.0
SPZ1,3.208,3.208,0.0
CDH2,80.29,80.29,0.0
CHN1,51.18,51.18,0.0
NECAP2,56.871,56.871,0.0
PELI3,1.104,1.104,0.0
POM121L1P,2.137,2.137,
NUDC,308.196,308.196,0.0
TUT1,31.944,31.944,0.0
ATP6V0D2,4.922,4.922,0.0
AGL,72.045,72.045,
C5orf49,3.976,3.976,0.0
AP3D1,56.416,56.416,0.0
ANKHD1,12.563,12.563,0.0
CDC73,43.464,43.464,
CRIP3,3.349,3.349,0.0
PSG5,22.081,22.081,0.0
PNOC,1.0,1.0,0.0
AGAP1,6.675,6.675,0.0
PKP4,20.295,20.295,0.0
PLPBP,162.474,162.474,0.0
MASTL,29.957,29.957,
TPM3,1208.491,1208.491,0.0
POLR2J3,24.264,24.264,
SURF6,29.519,29.519,
LIMS1,90.815,90.815,
MRC2,43.0,43.0,0.0
IAPP,17.51,17.51,0.0
SUSD5,12.529,12.529,0.0
VSTM4,1.757,1.757,
ANKRD23,2.973,2.973,
FBXO24,4.958,4.958,0.0
LIPM,9.005,9.005,
LYPD6B,0.921,0.921,0.0
BSDC1,40.091,40.091,0.0
ZSCAN18,7.677,7.677,0.0
FCRL3,2.737,2.737,0.0
BUB1B,24.874,24.874,0.0
CSNK2A3,142.751,142.751,
LDLRAP1,29.346,29.346,
HK1,314.58,314.58,0.0
ANKRD13A,30.206,30.206,0.0
ZFC3H1,13.802,13.802,0.0
SP9,2.837,2.837,
BOLL,5.091,5.091,0.0
SDHB,181.896,181.896,0.0
FKBP4,400.722,400.722,0.0
ANKRD20A2P,0.905,0.905,
FAM149B1,3.477,3.477,0.0
ZNF358,15.115,15.115,0.0
C11orf45,3.905,3.905,
ACSL3,170.905,170.905,0.0
KLF3,11.651,11.651,
PCDH20,1.244,1.244,
DROSHA,27.987,27.987,0.0
FREM3,2.651,2.651,
DBT,76.721,76.721,0.0
TMEM242,14.561,14.561,0.0
YPEL3,4.51,4.509999999999999,0.0
TRMT2B,13.404,13.404,
CITED2,3.126,3.126,0.0
MUC22,0.008,0.008,
CCDC114,2.872,2.872,
NME9,2.214,2.214,0.0
PPP1R35,316.842,316.842,
CCNDBP1,14.565,14.565,0.0
GCNT1,12.223,12.223,
ARHGEF1,60.661,60.661,0.0
MCM8,11.354,11.354,
RTP5,2.64,2.64,0.0
KRTAP12-2,5.404,5.404,
POLI,17.8,17.8,0.0
PROSER3,17.669,17.669,0.0
SPP2,60.979,60.979,0.0
STK35,4.999,4.999,0.0
BUD23,29.025,29.025000000000002,0.0
STX4,72.47,72.47,0.0
HTR3A,1.24,1.24,
JADE3,24.626,24.626,0.0
MRPL1,62.036,62.036,0.0
FKTN,34.753,34.753,0.0
TSSC4,38.031,38.031,0.0
TMEM218,33.038,33.038,0.0
ARL17B,4.903,4.903,0.0
IFITM3,129.339,129.339,0.0
HOOK3,40.613,40.613,
NKD2,27.231,27.231,
HLA-A,393.107,393.107,0.0
SAA2,291.043,291.043,0.0
RPL37,146.341,146.341,0.0
PRAMEF12,2.158,2.158,
LRRC74B,0.132,0.132,
PIP5K1B,4.189,4.189,0.0
WFDC13,30.206,30.206,
GSTM4,96.994,96.99399999999999,0.0
KCNG2,5.304,5.304,
CERT1,30.428,30.428,0.0
ZNF835,0.853,0.853,0.0
NHLH2,1.7,1.7,0.0
LRRC37B,7.43,7.43,0.0
LYST,4.334,4.334,0.0
POLL,13.056,13.056,0.0
VAX1,4.036,4.036,
MAPKAP1,23.765,23.765,0.0
CCHCR1,3.127,3.1270000000000007,0.0
CENPT,17.736,17.736,0.0
C17orf47,4.395,4.395,
FUT6,8.912,8.912,0.0
CD302,5.24,5.24,
TM2D2,41.174,41.174,
FHDC1,50.226,50.226,
TSPYL1,36.701,36.701,
GDF9,2.691,2.691,0.0
PRRT2,66.49,66.49,0.0
GREM1,62.032,62.032,0.0
SLC8A1,32.358,32.358,0.0
TAC3,7.98,7.98,
S1PR2,10.873,10.873,
UBR7,2.082,2.082,
LRRC75A,10.167,10.167,
SETD7,51.219,51.219,0.0
TMEM237,22.219,22.219000000000005,0.0
PHF20,21.047,21.047,0.0
MYMK,10.019,10.019,
NDUFAF2,96.141,96.141,0.0
SIRPB1,43.734,43.734,
CDK17,19.601,19.601,0.0
METTL16,32.231,32.231,0.0
NCR3,2.159,2.159,
UBXN1,125.133,125.133,0.0
ST6GAL2,1.216,1.216,0.0
ACOT9,95.111,95.111,0.0
H2BC11,915.574,915.574,
UBE2Q2L,3.294,3.294,
TMPRSS15,2.427,2.427,
DPF3,7.274,7.274,0.0
HERC3,7.674,7.674,0.0
ARHGAP45,69.895,69.895,0.0
CACNG1,52.74,52.74,
PAX8,2.31,2.31,0.0
RHOB,113.633,113.633,
KCTD6,6.657,6.657,0.0
ZBTB7C,3.153,3.153,0.0
SZT2,7.632,7.632,0.0
SLC16A14,0.916,0.916,0.0
ERCC3,34.422,34.422,0.0
IL24,25.647,25.647,
STRN,60.675,60.675,
TBC1D3L,1.947,1.947,
INHBB,17.642,17.642,
TRIM49B,1.003,1.003,
ADCYAP1R1,4.964,4.964,
CA3,333.963,333.963,0.0
WDR45,12.506,12.506,
TUBA1C,1300.332,1300.332,0.0
CYP8B1,60.065,60.065,0.0
HEATR3,31.599,31.599,
PGBD5,15.317,15.317,
SLC40A1,16.219,16.219,0.0
NME1,790.304,790.304,0.0
PEX12,31.374,31.374,0.0
HMCN1,3.681,3.681,
CARNS1,23.136,23.136,
C12orf50,4.93,4.93,0.0
HDGFL1,14.167,14.167,
RUNX3,23.612,23.612,
HM13,123.234,123.234,0.0
IKZF4,5.781,5.781,0.0
CAMK1G,3.438,3.438,0.0
TNNI3K,2.456,2.456,0.0
ARL16,12.311,12.311,0.0
SDR42E1,4.925,4.925,0.0
NBPF10,0.377,0.377,
CALML5,279.872,279.872,
ESRRA,54.437,54.437,0.0
TIGD6,6.164,6.164,
MOK,7.292,7.292000000000001,0.0
COA5,38.039,38.039,
KBTBD13,2.376,2.376,
ERLEC1,34.063,34.063,
KLRF2,42.333,42.333,
FDCSP,17.827,17.827,
GAS8,7.29,7.29,0.0
WASHC4,31.644,31.644000000000002,0.0
CFAP36,29.433,29.433,0.0
SLC26A4,5.683,5.683,0.0
LOXL4,6.943,6.943,
POM121C,13.583,13.583,
TESK1,2.19,2.19,
CDH17,131.161,131.161,0.0
PEX19,24.924,24.924,
ECHS1,733.663,733.663,
TSEN2,36.307,36.307,0.0
KANK2,84.095,84.095,0.0
GUCA1C,0.559,0.559,0.0
NBPF26,0.586,0.586,
PRDX3,842.183,842.183,
TSPAN16,5.774,5.774,
TCP11,6.161,6.1610000000000005,0.0
ST3GAL3,6.675,6.675,0.0
OR6B3,5.698,5.698,
OGFRL1,12.549,12.549,
ALPP,19.576,19.576,
GPX2,42.595,42.595,0.0
TMBIM6,49.618,49.618,0.0
FBXW12,8.364,8.364,0.0
ARPC3,468.252,468.252,0.0
KHDRBS2,18.353,18.353,
CCDC25,135.912,135.912,0.0
MEF2C,6.16,6.16,0.0
MPC2,136.121,136.121,0.0
STK33,16.137,16.137,0.0
TMEM132B,23.079,23.079,
ARHGEF10,24.44,24.44,0.0
COX6A1,58.532,58.532,
DZIP1L,6.256,6.256,0.0
LLGL1,39.993,39.993,0.0
CYLC1,5.297,5.297,0.0
NR2C2,19.37,19.37,0.0
CAMK1,42.304,42.304,0.0
CHKB,25.078,25.078,
NSFL1C,184.357,184.357,0.0
PCSK4,13.323,13.323,0.0
STPG3,9.121,9.121,0.0
NELFCD,33.425,33.425,0.0
PFKFB2,45.822,45.822,0.0
LUZP2,1.978,1.978,
C9orf92,0.0,0.0,
KRTAP10-10,4.774,4.774,
DENND3,11.843,11.843000000000002,0.0
TMEM263,61.629,61.629,
CCT6B,64.081,64.081,0.0
OR4L1,4.487,4.487,
ZNF786,5.315,5.315,0.0
LILRB1,8.252,8.252,0.0
CAB39,118.059,118.059,0.0
MT-ND3,187.045,187.045,
NCK2,40.938,40.938,0.0
P2RX3,3.603,3.603,0.0
DPPA4,225.179,225.179,0.0
GABARAPL1,64.721,64.721,0.0
C17orf99,17.584,17.584,0.0
SMOC1,22.071,22.071,
UGT1A8,17.694,17.694,
HSD17B12,354.76,354.76,
PRAP1,395.923,395.923,
CNOT6L,27.418,27.418,0.0
USP17L1,7.134,7.134,
IGIP,6.055,6.055,
SCAF8,21.948,21.948,0.0
MICOS13,113.859,113.859,0.0
PGK1,1821.129,1821.129,
SDC1,161.039,161.039,0.0
EMID1,19.357,19.357,0.0
ST6GALNAC1,26.965,26.965,0.0
FCMR,4.308,4.308,0.0
CD5L,168.879,168.879,
OR9I1,0.75,0.75,
RGPD6,8.513,8.513,0.0
SAMD10,0.552,0.552,
TBX10,0.235,0.235,
MYCN,8.437,8.437,
PIK3C2A,25.259,25.259,0.0
CLASRP,21.619,21.619,0.0
ASCL3,5.855,5.855,
AHRR,38.135,38.135,0.0
FKBP10,73.232,73.23199999999999,0.0
OR51B2,1.161,1.161,
SNURF,26.924,26.924,
CNIH3,2.76,2.76,
EIF2AK3,14.927,14.927,
ZNF776,2.079,2.079,
DAPL1,11.387,11.387,0.0
TGM5,3.151,3.151,0.0
GLUD1,495.706,495.706,
GTF2E2,65.652,65.652,0.0
HPCAL4,64.325,64.325,0.0
RCL1,31.681,31.681,0.0
DUOXA1,3.52,3.52,0.0
TMEM170A,274.042,274.042,
SHTN1,51.743,51.743,
MRPL58,58.996,58.996,0.0
SYTL2,7.755,7.755,0.0
NBPF19,0.562,0.562,
IL12RB1,1.735,1.735,0.0
RPS19BP1,51.175,51.175,0.0
KRTAP12-3,464.305,464.305,
NME3,146.705,146.705,0.0
ADSL,111.811,111.811,0.0
GIMAP2,10.839,10.839,
CLLU1,0.351,0.351,
NEK11,7.215,7.215,0.0
TMPRSS2,8.46,8.46,0.0
GTF2F1,66.711,66.711,0.0
FLAD1,32.392,32.392,0.0
MAMDC4,38.691,38.691,0.0
MRPL9,58.892,58.892,
POGK,12.025,12.025,0.0
NCAPH,35.215,35.215,0.0
LRP6,10.272,10.272,0.0
MARCHF2,7.083,7.083,0.0
PRM3,5.156,5.156,
GALNS,41.427,41.427,0.0
FAM3B,54.324,54.324,0.0
PIGG,30.732,30.732,0.0
RNF175,17.952,17.952,0.0
COPS5,105.735,105.73499999999999,0.0
C15orf61,11.459,11.459,0.0
MAPK8IP2,2.513,2.513,
NR3C2,5.359,5.359,
GLIS2,7.986,7.986,
TFR2,17.302,17.302,0.0
STUM,46.096,46.096,0.0
SLC25A37,6.427,6.427,0.0
MCCD1,11.245,11.245,
VDAC2,706.768,706.768,0.0
KRT78,110.671,110.671,0.0
CD53,95.821,95.821,
KIR2DS2,1.066,1.066,
CSNK2A1,142.751,142.751,0.0
EIF3B,187.998,187.998,0.0
RBM4B,32.587,32.587,0.0
REXO1,7.505,7.505,0.0
METTL5,80.263,80.26300000000002,0.0
NHLRC4,0.0,0.0,
PWWP2A,23.211,23.211,0.0
PPIAL4E,295.204,295.204,
SLC26A5,5.0,5.0,0.0
ARHGEF25,7.52,7.52,
PHF13,3.197,3.197,
IL18,84.886,84.886,
SIK3,22.418,22.418,0.0
CAPN14,1.102,1.102,0.0
FCRL2,13.433,13.433,
OR9Q1,1.497,1.497,
ACAD9,69.858,69.858,0.0
MAMSTR,5.753,5.753,
ACAA2,829.156,829.156,0.0
FHL3,50.529,50.529,
ST6GALNAC2,3.373,3.373,0.0
VCL,1168.879,1168.879,0.0
SMIM34A,0.008,0.008,
INIP,21.667,21.667,0.0
TLCD3A,7.59,7.59,0.0
SLC6A4,10.113,10.113,0.0
H2BW2,10.987,10.987,0.0
HELT,0.995,0.995,
NOVA1,14.237,14.237,
SOX2,29.153,29.153,
WWP2,119.79,119.79,0.0
NEFH,91.376,91.376,
FBXO42,8.266,8.266,0.0
IVD,164.241,164.241,0.0
ABCB10,27.544,27.544,
C16orf90,12.39,12.39,
SLC25A31,73.586,73.586,
BMP10,4.727,4.727,
MS4A4A,201.035,201.035,
IFNA13,7.943,7.943,
MXD1,15.035,15.035,0.0
EURL,16.238,16.238,
C1orf194,3.444,3.444,
SGCB,28.593,28.593,0.0
SLC9A6,18.628,18.628,
SMARCA1,28.235,28.235,0.0
ACACA,35.25,35.25,0.0
TSKS,4.52,4.52,0.0
TMEM185A,4.407,4.407,0.0
C19orf25,39.841,39.841,0.0
GXYLT1,23.974,23.974,
DHH,2.984,2.984,
NGRN,35.388,35.388,0.0
SELPLG,20.953,20.953,0.0
GINS4,91.936,91.93599999999999,0.0
TUBB3,450.705,450.705,0.0
PSMB10,75.49,75.49,0.0
EP400P1,8.195,8.195,
MORN5,9.937,9.937,0.0
MRPL43,57.39,57.39,0.0
CLIP1,54.812,54.812,0.0
GSG1L,5.16,5.16,0.0
SLC22A1,10.431,10.431,0.0
ANKRD20A4P,1.097,1.097,0.0
ZNF532,9.912,9.912000000000003,0.0
PCMTD1,11.23,11.23,0.0
TDRD7,19.169,19.169,
ARSB,22.957,22.957,0.0
ARHGAP10,15.588,15.588,
PTGFR,8.189,8.189,0.0
MBD3L1,11.255,11.255,
SEC22A,27.674,27.674000000000003,0.0
ABCA1,10.958,10.958,0.0
ACVR1C,10.936,10.936,
CYLC2,6.647,6.647,
CYLD,16.587,16.587,0.0
PLP1,2354.792,2354.792,0.0
TOR3A,20.118,20.118,0.0
RCOR2,9.041,9.041,
FANCG,13.64,13.64,0.0
KRT3,146.537,146.537,
SPATA48,2.37,2.37,
CDH5,21.762,21.762,0.0
HOXB8,6.517,6.517,0.0
ZMYM5,8.248,8.248,
TMEM211,50.756,50.756,0.0
CTLA4,2.049,2.049,
TIMM9,128.076,128.076,0.0
TMEM182,16.58,16.58,0.0
CDK9,24.339,24.339,0.0
VPS33A,19.498,19.498,
IGSF8,47.816,47.816,0.0
TRIAP1,47.073,47.073,
UBQLNL,9.636,9.636,
TAS2R38,1.095,1.095,
ZNF414,12.003,12.003,0.0
MTHFD1L,30.543,30.543,
TSR2,40.578,40.578,
WNT7A,4.467,4.467,
THBS3,12.517,12.517,0.0
FAM72B,0.126,0.126,0.0
CDC42BPA,21.712,21.712,0.0
NCR1,1.481,1.481,0.0
PAPSS2,70.597,70.597,
UNC45B,66.46,66.46,
TFF2,213.286,213.286,
SNRPD2,489.974,489.974,0.0
TRAF4,27.843,27.842999999999996,0.0
EDC3,49.619,49.619000000000014,0.0
PSMD11,191.983,191.98300000000003,0.0
CLCN2,7.093,7.093,
ZNF669,7.412,7.412,0.0
CDH6,9.782,9.782,0.0
DBP,7.073,7.073,0.0
RCBTB1,12.473,12.473,
GTF3C3,29.406,29.406,0.0
COA3,93.763,93.763,0.0
SARDH,77.547,77.547,0.0
CALHM6,12.306,12.306,0.0
AVPR1B,8.629,8.629,
LRRD1,4.204,4.204,0.0
REC8,2.695,2.695,0.0
EEF1AKNMT,30.295,30.295,
LEMD3,34.419,34.419,
MTG1,15.986,15.986,0.0
CERS4,10.708,10.708,0.0
NAT10,59.8,59.8,0.0
ANKRD36C,1.254,1.254,0.0
ATF6,14.093,14.093,
GJC2,2.909,2.909,
MSH2,61.021,61.021,0.0
NEDD8-MDP1,72.839,72.839,
VLDLR,16.12,16.12,
FMN2,8.748,8.748,0.0
ELF4,6.4,6.4,0.0
PSMB2,350.828,350.828,0.0
STRBP,42.475,42.475,0.0
HS3ST1,25.919,25.919,0.0
SMARCD1,28.909,28.909,0.0
ARHGAP22,10.093,10.093,0.0
MEF2D,27.775,27.775,0.0
PRODH2,37.257,37.257,0.0
PEX2,1.903,1.903,0.0
RCC1,137.323,137.323,0.0
SIK1,18.003,18.003,
ZNF230,4.94,4.94,0.0
SLC30A7,49.645,49.645,0.0
AHRR,261.372,261.372,
PHKB,32.212,32.211999999999996,0.0
KLHL6,3.092,3.092,0.0
PIGO,30.399,30.399,
DTWD1,31.625,31.625,0.0
CRCP,22.906,22.906,
FDPS,195.151,195.151,0.0
IRAK3,10.195,10.195,
GIMAP7,36.577,36.577,
LINGO2,5.175,5.175,
NAIP,7.061,7.061,0.0
NEK2,14.456,14.456,0.0
CHST5,2.031,2.031,0.0
FNDC9,12.929,12.929,0.0
LIN52,7.352,7.352,
CHAC2,52.448,52.448,
DEFB103B,0.211,0.211,
DUSP6,2.042,2.042,0.0
RBMY1D,4.61,4.61,
PSD,4.991,4.991,
SMG8,27.94,27.94,0.0
TACC2,24.275,24.275000000000002,0.0
TRIM15,1.53,1.53,0.0
ULBP1,3.341,3.341,
RBMY1J,4.488,4.488,
AOAH,10.629,10.629,0.0
LRRC74A,5.788,5.788,0.0
NUTM2B,0.83,0.83,0.0
MAGEC2,13.061,13.061,
PLEKHH3,12.46,12.46,0.0
SOWAHB,3.331,3.331,
EMILIN1,213.887,213.887,
FAM221A,15.855,15.854999999999999,0.0
NECTIN2,41.589,41.589,0.0
TRAPPC3,116.482,116.482,0.0
AKAP17A,25.698,25.698,0.0
FOXRED1,30.496,30.496,0.0
PGF,21.136,21.136,0.0
MEGF9,13.87,13.87,
SPRY4,13.794,13.794000000000002,0.0
EMB,22.94,22.94,
C3orf20,1.327,1.327,
SNX10,6.623,6.623,0.0
CD44,154.871,154.87100000000004,0.0
GGACT,61.624,61.624,0.0
NEPRO,22.811,22.811000000000003,0.0
SEMA3D,1.305,1.305,0.0
PAFAH1B3,236.442,236.442,0.0
NFIB,34.427,34.427,
OR5AR1,0.914,0.914,
LENG1,13.408,13.408,
AADAT,50.761,50.761,0.0
PRELID3A,6.77,6.77,0.0
NUP62,86.813,86.813,0.0
MICOS10-NBL1,74.211,74.211,0.0
ADAMTSL2,6.859,6.859,0.0
GLS,140.318,140.318,0.0
KIF23,23.665,23.665,0.0
PRF1,182.263,182.263,
ZNF232,2.7,2.7,0.0
ZC3H18,45.376,45.376,0.0
TTYH1,13.094,13.094,0.0
IQCC,11.02,11.02,
JMJD7,16.991,16.991,
FIBCD1,2.351,2.351,0.0
GLYCTK,65.868,65.868,0.0
RNF167,16.425,16.425,0.0
CCS,106.725,106.72499999999998,0.0
LGALS9B,6.558,6.558,
MTMR9,18.545,18.545,0.0
CDH8,6.854,6.854,0.0
CD160,4.234,4.234,
RAB43,33.237,33.237,0.0
TPP2,86.126,86.126,0.0
GARRE1,18.115,18.115,0.0
ZBTB5,13.384,13.384,
OR4F4,8.131,8.131,
PRTFDC1,26.13,26.13,
ABHD17A,28.519,28.519,
HELQ,5.388,5.388000000000001,0.0
GMIP,34.006,34.006,0.0
MRGPRG,21.598,21.598,
PNPLA2,28.068,28.068,
BRAP,41.083,41.083,0.0
CCDC169,2.699,2.699,
DHCR24,177.118,177.118,
OR4K14,0.541,0.541,
RXRA,10.024,10.024,
SLC2A4RG,7.422,7.422,
MAB21L2,9.014,9.014,
SEC22C,3.816,3.8159999999999994,0.0
FCHSD2,13.927,13.926999999999996,0.0
HUNK,4.856,4.856,0.0
TCERG1L,9.599,9.599,
TTC21B,16.687,16.687,0.0
ZKSCAN2,101.475,101.475,0.0
CACNA1F,1.176,1.176,0.0
DHRS2,461.185,461.185,0.0
GOLGA4,32.796,32.796,0.0
ZNF740,36.058,36.058,
CCDC97,28.487,28.487,0.0
CLPTM1,71.147,71.147,0.0
OR52B6,18.422,18.422,
PCDHA4,6.16,6.16,0.0
PYGM,115.974,115.974,
TCEANC,7.741,7.741,0.0
TASOR2,35.037,35.037,
ANKRD35,3.802,3.802,0.0
NHSL1,73.078,73.078,0.0
RCBTB2,9.834,9.834,0.0
PNMT,42.238,42.238,0.0
ZPR1,36.741,36.741,0.0
NME2P1,753.915,753.915,
PCSK2,14.842,14.842,
TLX1,2.501,2.501,
GPS1,97.584,97.58400000000003,0.0
ZNF284,4.654,4.654,
C11orf65,4.479,4.479,
BATF2,22.167,22.167,0.0
RASA4B,6.273,6.273,0.0
DAB2IP,21.744,21.744,0.0
GPC3,16.549,16.549,
MYO1F,25.606,25.606000000000005,0.0
TAX1BP1,16.008,16.008,0.0
HBA2,14178.655,14178.655,0.0
LRRCC1,2.587,2.587,0.0
ZNF93,0.371,0.371,0.0
ARFGEF3,22.46,22.46,
DPP3,144.171,144.17100000000002,0.0
NUCB2,138.3,138.29999999999998,0.0
OR51E1,10.936,10.936,0.0
NPHP3,7.951,7.951,0.0
CPLX2,233.121,233.121,0.0
BTBD8,10.635,10.635,
EEF1E1-BLOC1S5,45.486,45.486,
PDPN,9.472,9.472,0.0
AARS2,39.778,39.778,
ALAS2,1.692,1.692,0.0
GET4,49.193,49.193000000000005,0.0
DLX1,6.262,6.262,0.0
MUSK,1.963,1.963,0.0
MVP,175.721,175.721,0.0
CLDND1,27.626,27.625999999999987,0.0
CXCL14,28.54,28.54,0.0
